unitid,cohort,awarded_8yr,still_enrolled,enrolled_elsewhere,unknown,awarded_6yr
107327,215,94,4,31,86,89
157401,1507,860,8,190,449,835
220057,587,183,5,102,297,177
220400,1122,332,14,200,576,328
221768,1073,557,5,250,261,539
